"Sex";"Periods";"Regions";"Population on 1 January (number)";"Population density (number)";"Live born children/Live born children (number)";"Live born children/Live born children, ratio (per 1,000)";"Deaths/Deaths (number)";"Deaths/Deaths, ratio (per 1,000)";"Natural increase (number)";"Arrivals in municipality/Total arrivals (number)";"Arrivals in municipality/Total arrivals, ratio (per 1,000)";"Arrivals in municipality/Due to immigration (number)";"Arrivals in municipality/Due to intermunicipal moves (number)";"Departures from municipality/Total departures including administra... (number)";"Departures from municipality/Total departures including adm..., ratio (per 1,000)";"Departures from municipality/Due to emigration including administr... (number)";"Departures from municipality/Due to intermunicipal moves (number)";"Net migration including administrative.. (number)";"Population growth/Population growth (number)";"Population growth/Population growth, ratio (per 1,000)";"Population on 31 December (number)"
"Total male and female";"2023";"Drenthe (PV)";502051;191;4041;8;5795;11,5;-1754;27346;54,4;4170;23176;23462;46,6;2785;20677;3884;2078;4,1;504129
"Total male and female";"1950";"Overijssel (PV)";670030;;15495;22,9;4983;7,4;10512;29352;43,4;;;27722;41;;;1630;12205;18,2;682235
"Total male and female";"1960";"Overijssel (PV)";770848;;17611;22,7;5841;7,5;11770;34192;44;2544;31648;33620;43,3;2655;30965;572;12507;16,2;783355
"Total male and female";"1970";"Overijssel (PV)";920882;;18675;20,1;7443;8;11232;42802;46,2;5194;37608;41948;45,3;2870;39078;854;12064;13,1;932946
"Total male and female";"1980";"Overijssel (PV)";1018208;;14582;14,3;7918;7,7;6664;41371;40,4;6313;35058;38409;37,5;3208;35201;2962;9628;9,5;1027836
"Total male and female";"1990";"Overijssel (PV)";1020424;;13922;13,6;8828;8,6;5094;39733;38,8;4568;35165;38926;38;3187;35739;807;5901;5,8;1026325
"Total male and female";"2000";"Overijssel (PV)";1077625;323;14924;13,8;9847;9,1;5077;41121;38;7006;34115;37836;35;3248;34588;3285;8655;8;1086280
"Total male and female";"2010";"Overijssel (PV)";1130345;340;13180;11,6;9269;8,2;3911;38896;34,3;7036;31860;38663;34,1;5585;33078;233;4120;3,6;1134465
"Total male and female";"2020";"Overijssel (PV)";1162406;350;11099;9,5;11562;9,9;-463;51171;43,9;8235;42936;46557;40;5623;40934;4614;4127;3,6;1166533
"Total male and female";"2023";"Overijssel (PV)";1184333;357;10935;9,2;11527;9,7;-592;56239;47,4;12274;43965;50910;42,9;8711;42199;5329;4700;4;1189033
